file,total_frames,time,result,ground_truth
s1-1.mov,136,6.705979824066162,Dual_hands_heart,Zoom_in_with_fingers
s1-2.mov,85,4.270258903503418,Dual_hands_heart,Click_with_index_finger
s1-3.mov,92,4.479987144470215,Make_a_phone_call,Make_a_phone_call
s1-4.mov,115,5.6054158210754395,Make_a_phone_call,Wave_finger
s1-5.mov,100,4.876657962799072,Knock,Knock
s1-6.mov,80,4.160469055175781,Dual_hands_heart,Move_fingers_left
s1-7.mov,56,2.798307180404663,Sweep_diagonal,Sweep_diagonal
s1-8.mov,149,7.205310821533203,Sweep_circle,Sweep_circle
s1-9.mov,114,5.5936949253082275,Sweep_diagonal,Sweep_cross
s1-10.mov,113,5.579987049102783,Dual_hands_heart,Dual_hands_heart
s2-1.mov,113,5.528846740722656,Zoom_in_with_fingers,Zoom_in_with_fingers
s2-2.mov,82,4.1453821659088135,Make_a_phone_call,Click_with_index_finger
s2-3.mov,90,4.416104316711426,Make_a_phone_call,Make_a_phone_call
s2-4.mov,116,5.7187488079071045,Wave_finger,Wave_finger
s2-5.mov,101,5.041131019592285,Dual_hands_heart,Knock
s2-6.mov,92,4.756449222564697,Move_fingers_left,Move_fingers_left
s2-7.mov,66,3.2289881706237793,Zoom_in_with_fingers,Sweep_diagonal
s2-8.mov,111,5.3343939781188965,Sweep_circle,Sweep_circle
s2-9.mov,100,5.017943859100342,Sweep_diagonal,Sweep_cross
s2-10.mov,131,6.67327094078064,Dual_hands_heart,Dual_hands_heart
s3-1.mov,85,4.24982213973999,Dual_hands_heart,Zoom_in_with_fingers
s3-2.mov,79,4.119003057479858,Click_with_index_finger,Click_with_index_finger
s3-3.mov,103,5.137318134307861,Make_a_phone_call,Make_a_phone_call
s3-4.mov,98,4.880670070648193,Make_a_phone_call,Wave_finger
s3-5.mov,133,6.365478038787842,Knock,Knock
s3-6.mov,70,3.3779661655426025,Move_fingers_left,Move_fingers_left
s3-7.mov,69,3.383470058441162,Sweep_diagonal,Sweep_diagonal
s3-8.mov,141,6.741637945175171,Sweep_circle,Sweep_circle
s3-9.mov,120,5.785140037536621,Sweep_cross,Sweep_cross
s3-10.mov,164,7.610123872756958,Dual_hands_heart,Dual_hands_heart
