file,total_frames,time,result,ground_truth
s1-1.mov,136,12.956104755401611,Dual_hands_heart,Zoom_in_with_fingers
s1-2.mov,85,8.487164974212646,Dual_hands_heart,Click_with_index_finger
s1-3.mov,92,8.656392097473145,Make_a_phone_call,Make_a_phone_call
s1-4.mov,115,11.446887969970703,Wave_finger,Wave_finger
s1-5.mov,100,9.677150964736938,Knock,Knock
s1-6.mov,80,7.798759937286377,Dual_hands_heart,Move_fingers_left
s1-7.mov,56,5.509490013122559,Sweep_diagonal,Sweep_diagonal
s1-8.mov,149,14.612640857696533,Sweep_circle,Sweep_circle
s1-9.mov,114,11.190788269042969,Sweep_cross,Sweep_cross
s1-10.mov,113,11.390991926193237,Dual_hands_heart,Dual_hands_heart
s2-1.mov,113,11.045212984085083,Zoom_in_with_fingers,Zoom_in_with_fingers
s2-2.mov,82,8.083765029907227,Click_with_index_finger,Click_with_index_finger
s2-3.mov,90,8.5921049118042,Make_a_phone_call,Make_a_phone_call
s2-4.mov,116,10.996365070343018,Wave_finger,Wave_finger
s2-5.mov,101,9.90908408164978,Knock,Knock
s2-6.mov,92,8.578458070755005,Move_fingers_left,Move_fingers_left
s2-7.mov,66,6.141769886016846,Zoom_in_with_fingers,Sweep_diagonal
s2-8.mov,111,10.47348690032959,Sweep_circle,Sweep_circle
s2-9.mov,100,9.820680856704712,Sweep_cross,Sweep_cross
s2-10.mov,131,12.563654899597168,Dual_hands_heart,Dual_hands_heart
s3-1.mov,85,8.104100704193115,Dual_hands_heart,Zoom_in_with_fingers
s3-2.mov,79,7.575354814529419,Click_with_index_finger,Click_with_index_finger
s3-3.mov,103,9.80145263671875,Make_a_phone_call,Make_a_phone_call
s3-4.mov,98,9.465863227844238,Wave_finger,Wave_finger
s3-5.mov,133,13.050482988357544,Knock,Knock
s3-6.mov,70,7.013878107070923,Move_fingers_left,Move_fingers_left
s3-7.mov,69,6.642334938049316,Sweep_diagonal,Sweep_diagonal
s3-8.mov,141,13.32719898223877,Sweep_circle,Sweep_circle
s3-9.mov,120,11.488953113555908,Sweep_cross,Sweep_cross
s3-10.mov,164,15.43751573562622,Dual_hands_heart,Dual_hands_heart
