file,total_frames,time,result,ground_truth
s1-1.mov,136,0.23424363136291504,Zoom_in_with_fingers,Zoom_in_with_fingers
s1-2.mov,85,0.25254082679748535,Dual_hands_heart,Click_with_index_finger
s1-3.mov,92,0.18612980842590332,Wave_finger,Make_a_phone_call
s1-4.mov,115,0.3027470111846924,Move_fingers_left,Wave_finger
s1-5.mov,100,0.21624279022216797,Knock,Knock
s1-6.mov,80,0.2747030258178711,Dual_hands_heart,Move_fingers_left
s1-7.mov,56,0.15108990669250488,Sweep_diagonal,Sweep_diagonal
s1-8.mov,149,0.2926809787750244,Sweep_diagonal,Sweep_circle
s1-9.mov,114,0.2435750961303711,Move_fingers_left,Sweep_cross
s1-10.mov,113,0.1986980438232422,Dual_hands_heart,Dual_hands_heart
s2-1.mov,113,0.23166418075561523,Move_fingers_left,Zoom_in_with_fingers
s2-2.mov,82,0.2590820789337158,Sweep_diagonal,Click_with_index_finger
s2-3.mov,90,0.2208409309387207,Wave_finger,Make_a_phone_call
s2-4.mov,116,0.3426079750061035,Wave_finger,Wave_finger
s2-5.mov,101,0.26911211013793945,Dual_hands_heart,Knock
s2-6.mov,92,0.2989671230316162,Knock,Move_fingers_left
s2-7.mov,66,0.1613750457763672,Click_with_index_finger,Sweep_diagonal
s2-8.mov,111,0.270658016204834,Move_fingers_left,Sweep_circle
s2-9.mov,100,0.2825319766998291,Move_fingers_left,Sweep_cross
s2-10.mov,131,0.22473382949829102,Dual_hands_heart,Dual_hands_heart
s3-1.mov,85,0.1972370147705078,Move_fingers_left,Zoom_in_with_fingers
s3-2.mov,79,0.2443249225616455,Click_with_index_finger,Click_with_index_finger
s3-3.mov,103,0.20141077041625977,Make_a_phone_call,Make_a_phone_call
s3-4.mov,98,0.2744567394256592,Wave_finger,Wave_finger
s3-5.mov,133,0.21767902374267578,Knock,Knock
s3-6.mov,70,0.2692289352416992,Move_fingers_left,Move_fingers_left
s3-7.mov,69,0.2728581428527832,Sweep_diagonal,Sweep_diagonal
s3-8.mov,141,0.24802732467651367,Move_fingers_left,Sweep_circle
s3-9.mov,120,0.21405315399169922,Sweep_cross,Sweep_cross
s3-10.mov,164,0.2570018768310547,Click_with_index_finger,Dual_hands_heart
