file,total_frames,time,result,ground_truth
s1-1.mov,79,0.8665688037872314,Sweep_diagonal,Zoom_in_with_fingers
s1-2.mov,77,0.6756811141967773,Make_a_phone_call,Click_with_index_finger
s1-3.mov,83,1.290363073348999,Make_a_phone_call,Make_a_phone_call
s1-4.mov,84,1.2663040161132812,Wave_finger,Wave_finger
s1-5.mov,92,0.8779966831207275,Knock,Knock
s1-6.mov,65,0.5634539127349854,Move_fingers_left,Move_fingers_left
s1-7.mov,90,2.0955910682678223,Wave_finger,Sweep_diagonal
s1-8.mov,112,0.37894487380981445,Sweep_cross,Sweep_circle
s1-9.mov,103,2.3573081493377686,Move_fingers_left,Sweep_cross
s1-10.mov,72,1.2958471775054932,Dual_hands_heart,Dual_hands_heart
s2-1.mov,100,2.4871630668640137,Dual_hands_heart,Zoom_in_with_fingers
s2-2.mov,63,1.2410869598388672,Sweep_diagonal,Click_with_index_finger
s2-3.mov,67,2.468903064727783,Make_a_phone_call,Make_a_phone_call
s2-4.mov,80,0.4580540657043457,Wave_finger,Wave_finger
s2-5.mov,90,0.4147329330444336,Sweep_diagonal,Knock
s2-6.mov,88,0.32659006118774414,Knock,Move_fingers_left
s2-7.mov,50,0.3168447017669678,Sweep_diagonal,Sweep_diagonal
s2-8.mov,92,3.2174320220947266,Sweep_cross,Sweep_circle
s2-9.mov,87,2.0535919666290283,Sweep_cross,Sweep_cross
s2-10.mov,98,1.534527063369751,Dual_hands_heart,Dual_hands_heart
s3-1.mov,67,0.6403031349182129,Sweep_cross,Zoom_in_with_fingers
s3-2.mov,52,1.8784852027893066,Sweep_diagonal,Click_with_index_finger
s3-3.mov,46,1.282181739807129,Sweep_cross,Make_a_phone_call
s3-4.mov,64,0.9765911102294922,Sweep_diagonal,Wave_finger
s3-5.mov,63,1.332442045211792,Dual_hands_heart,Knock
s3-6.mov,55,2.7753448486328125,Sweep_diagonal,Move_fingers_left
s3-7.mov,77,1.6636061668395996,Move_fingers_left,Sweep_diagonal
s3-8.mov,86,1.9223449230194092,Sweep_diagonal,Sweep_circle
s3-9.mov,80,0.5409009456634521,Move_fingers_left,Sweep_cross
s3-10.mov,67,0.5379500389099121,Dual_hands_heart,Dual_hands_heart
