file,total_frames,time,result,ground_truth
s1-1.mov,79,0.18143200874328613,Zoom_in_with_fingers,Zoom_in_with_fingers
s1-2.mov,77,0.20627808570861816,Move_fingers_left,Click_with_index_finger
s1-3.mov,83,0.2308340072631836,Sweep_cross,Make_a_phone_call
s1-4.mov,84,0.22539210319519043,Wave_finger,Wave_finger
s1-5.mov,92,0.23185396194458008,Knock,Knock
s1-6.mov,65,0.17334985733032227,Move_fingers_left,Move_fingers_left
s1-7.mov,90,0.24732518196105957,Move_fingers_left,Sweep_diagonal
s1-8.mov,112,0.26277995109558105,Move_fingers_left,Sweep_circle
s1-9.mov,103,0.24927902221679688,Sweep_circle,Sweep_cross
s1-10.mov,72,0.1823561191558838,Dual_hands_heart,Dual_hands_heart
s2-1.mov,100,0.2486720085144043,Dual_hands_heart,Zoom_in_with_fingers
s2-2.mov,63,0.2779247760772705,Move_fingers_left,Click_with_index_finger
s2-3.mov,67,0.21924114227294922,Make_a_phone_call,Make_a_phone_call
s2-4.mov,80,0.1732480525970459,Wave_finger,Wave_finger
s2-5.mov,90,0.26874589920043945,Move_fingers_left,Knock
s2-6.mov,88,0.17549896240234375,Move_fingers_left,Move_fingers_left
s2-7.mov,50,0.165848970413208,Sweep_circle,Sweep_diagonal
s2-8.mov,92,0.27284717559814453,Sweep_cross,Sweep_circle
s2-9.mov,87,0.22609806060791016,Sweep_diagonal,Sweep_cross
s2-10.mov,98,0.18943309783935547,Dual_hands_heart,Dual_hands_heart
s3-1.mov,67,0.2068631649017334,Move_fingers_left,Zoom_in_with_fingers
s3-2.mov,52,0.24915099143981934,Move_fingers_left,Click_with_index_finger
s3-3.mov,46,0.1600329875946045,Make_a_phone_call,Make_a_phone_call
s3-4.mov,64,0.24056100845336914,Make_a_phone_call,Wave_finger
s3-5.mov,63,0.1747908592224121,Move_fingers_left,Knock
s3-6.mov,55,0.23868203163146973,Sweep_diagonal,Move_fingers_left
s3-7.mov,77,0.25310683250427246,Sweep_circle,Sweep_diagonal
s3-8.mov,86,0.1980142593383789,Sweep_circle,Sweep_circle
s3-9.mov,80,0.1860971450805664,Sweep_cross,Sweep_cross
s3-10.mov,67,0.15070819854736328,Dual_hands_heart,Dual_hands_heart
